date;close;high;low;open
12/1/2003;15002.0;15161.0;15002.0;15113.0
1/1/2004;15165.0;15198.0;15129.0;15147.0
2/1/2004;15242.0;15304.0;15179.0;15179.0
3/1/2004;15201.0;15287.0;15201.0;15257.0
4/1/2004;15149.0;15226.0;15149.0;15226.0
5/1/2004;15232.0;15253.0;15186.0;15186.0
6/1/2004;15206.0;15296.0;15059.0;15236.0
7/1/2004;15228.0;15369.0;15005.0;15228.0
8/1/2004;15226.0;15397.0;15224.0;15230.0
9/1/2004;15223.0;15399.0;15166.0;15253.0
10/1/2004;15254.0;15756.0;15117.0;15128.0
11/1/2004;15768.0;15780.0;15212.0;15215.0
12/1/2004;15302.0;15780.0;15129.0;15298.0
1/1/2005;15781.0;15791.0;15051.0;15443.0
2/1/2005;15796.0;15801.0;15078.0;15145.0
3/1/2005;15825.0;15828.0;15132.0;15218.0
4/1/2005;15825.0;15840.0;15073.0;15157.0
5/1/2005;15855.0;15855.0;15148.0;15294.0
6/1/2005;15855.0;15876.0;15022.0;15148.0
7/1/2005;15127.0;15875.0;15127.0;15154.0
8/1/2005;15867.0;15885.0;15162.0;15870.0
9/1/2005;15895.0;15895.0;15160.0;15867.0
10/1/2005;15901.0;15917.0;15150.0;15895.0
11/1/2005;15907.0;15915.0;15098.0;15903.0
12/1/2005;15913.0;15915.0;15159.0;15907.0
1/1/2006;15913.0;15925.0;15091.0;15913.0
2/1/2006;15909.0;15936.0;15126.0;15913.0
3/1/2006;15915.0;15920.0;15117.0;15909.0
4/1/2006;15175.0;15930.0;15034.0;15200.0
5/1/2006;15364.0;16000.0;15135.0;15164.0
6/1/2006;15327.0;15975.0;15184.0;15305.0
7/1/2006;15320.0;15457.0;15172.0;15246.0
8/1/2006;16005.0;16008.0;15218.0;15326.0
9/1/2006;15359.0;16005.0;15290.0;15407.0
10/1/2006;15402.0;16045.0;15295.0;15359.0
11/1/2006;15365.0;16085.0;15322.0;15322.0
12/1/2006;15390.0;16062.0;15318.0;15354.0
1/1/2007;15386.0;16066.0;15349.0;15390.0
2/1/2007;15340.0;15985.0;15256.0;15261.0
3/1/2007;15311.0;16016.0;15280.0;15305.0
4/1/2007;15430.0;16038.0;15307.0;15307.0
5/1/2007;15782.0;16068.0;15342.0;15389.0
6/1/2007;15814.0;16120.0;15727.0;15780.0
7/1/2007;15873.0;16135.0;15730.0;15814.0
8/1/2007;15979.0;16220.0;15712.0;15893.0
